UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
    430.00000000	      8.60000000	      0.02670264	      0.02584942
    431.00000000	      8.62000000	      0.02667824	      0.02588061
    432.00000000	      8.64000000	      0.02668048	      0.02587775
    433.00000000	      8.66000000	      0.02670936	      0.02584082
    434.00000000	      8.68000000	      0.02676502	      0.02576966
    435.00000000	      8.70000000	      0.02684751	      0.02566403
    436.00000000	      8.72000000	      0.02695650	      0.02552375
    437.00000000	      8.74000000	      0.02709089	      0.02534892
    438.00000000	      8.76000000	      0.02724850	      0.02514016
    439.00000000	      8.78000000	      0.02742586	      0.02489567
    440.00000000	      8.80000000	      0.02761825	      0.02461096
    441.00000000	      8.82000000	      0.02781996	      0.02429072
    442.00000000	      8.84000000	      0.02802480	      0.02394762
    443.00000000	      8.86000000	      0.02822658	      0.02358963
    444.00000000	      8.88000000	      0.02841969	      0.02322530
    445.00000000	      8.90000000	      0.02859944	      0.02286412
    446.00000000	      8.92000000	      0.02876231	      0.02251598
    447.00000000	      8.94000000	      0.02890593	      0.02219069
    448.00000000	      8.96000000	      0.02902895	      0.02189750
    449.00000000	      8.98000000	      0.02913086	      0.02164457
    450.00000000	      9.00000000	      0.02921172	      0.02143837
    451.00000000	      9.02000000	      0.02927190	      0.02128308
    452.00000000	      9.04000000	      0.02931190	      0.02118014
    453.00000000	      9.06000000	      0.02933216	      0.02112851
    454.00000000	      9.08000000	      0.02933293	      0.02112655
    455.00000000	      9.10000000	      0.02931423	      0.02117417
    456.00000000	      9.12000000	      0.02927581	      0.02127297
    457.00000000	      9.14000000	      0.02921726	      0.02142410
    458.00000000	      9.16000000	      0.02913807	      0.02162636
    459.00000000	      9.18000000	      0.02903785	      0.02187578
    460.00000000	      9.20000000	      0.02891650	      0.02216604
    461.00000000	      9.22000000	      0.02877448	      0.02248910
    462.00000000	      9.24000000	      0.02861307	      0.02283579
    463.00000000	      9.26000000	      0.02843455	      0.02319629
    464.00000000	      9.28000000	      0.02824235	      0.02356072
    465.00000000	      9.30000000	      0.02804106	      0.02391955
    466.00000000	      9.32000000	      0.02783625	      0.02426412
    467.00000000	      9.34000000	      0.02763405	      0.02458662
    468.00000000	      9.36000000	      0.02744070	      0.02487445
    469.00000000	      9.38000000	      0.02726196	      0.02512211
    470.00000000	      9.40000000	      0.02710263	      0.02533353
    471.00000000	      9.42000000	      0.02696630	      0.02551109
    472.00000000	      9.44000000	      0.02685523	      0.02565413
    473.00000000	      9.46000000	      0.02677061	      0.02576252
    474.00000000	      9.48000000	      0.02671281	      0.02583641
    475.00000000	      9.50000000	      0.02668180	      0.02587605
    476.00000000	      9.52000000	      0.02667744	      0.02588162
    477.00000000	      9.54000000	      0.02669972	      0.02585315
    478.00000000	      9.56000000	      0.02674873	      0.02579050
    479.00000000	      9.58000000	      0.02682458	      0.02569343
    480.00000000	      9.60000000	      0.02692707	      0.02556174
    481.00000000	      9.62000000	      0.02705532	      0.02539544
    482.00000000	      9.64000000	      0.02720745	      0.02519499
